lon,lat
0.017494095,-3.805503214
-0.046009555,-3.73489068
-0.056593496,-3.724803175
-0.130681088,-3.664278146
-0.215352621,-3.593665612
-0.321192037,-3.523053078
-0.437615395,-3.432265534
-0.511702986,-3.371740505
-0.596374519,-3.301127971
-0.67046211,-3.230515438
-0.744549701,-3.149815399
-0.829221234,-3.079202865
-0.903308826,-3.008590331
-0.977396417,-2.927890292
-1.040900067,-2.857277758
-1.114987658,-2.77657772
-1.210243133,-2.685790176
-1.305498607,-2.595002633
-1.39017014,-2.504215089
-1.474841673,-2.42351505
-1.570097148,-2.342815012
-1.654768681,-2.272202478
-1.739440214,-2.191502439
-1.824111747,-2.120889905
-1.898199338,-2.050277371
-1.972286929,-1.979664837
-2.046374521,-1.909052303
-2.131046054,-1.83843977
-2.205133645,-1.777914741
-2.279221236,-1.717389711
-2.353308828,-1.656864682
-2.416812477,-1.606427158
-2.490900069,-1.555989634
-2.554403718,-1.515639615
-2.617907368,-1.46520209
-2.734330726,-1.374414547
-2.850754084,-1.293714508
-2.9565935,-1.213014469
-3.062432916,-1.142401936
-3.136520507,-1.091964411
-3.210608099,-1.041526887
-3.28469569,-1.001176868
-3.34819934,-0.950739344
-3.41170299,-0.890214315
-3.464622698,-0.829689286
-3.506958464,-0.769164256
-3.538710289,-0.708639227
-3.581046055,-0.648114198
-3.61279788,-0.587589169
-3.644549705,-0.52706414
-3.686885472,-0.456451606
-3.718637296,-0.395926577
-3.73980518,-0.325314043
-3.750389121,-0.264789014
-3.760973063,-0.184088976
-3.760973063,-0.113476442
-3.771557005,-0.052951413
-3.771557005,0.017661121
-3.771557005,0.088273655
-3.771557005,0.158886189
-3.771557005,0.229498723
-3.771557005,0.300111257
-3.771557005,0.370723791
-3.771557005,0.451423829
-3.760973063,0.542211373
-3.760973063,0.643086421
-3.750389121,0.733873965
-3.73980518,0.824661508
-3.73980518,0.905361547
-3.729221238,0.986061586
-3.718637296,1.05667412
-3.708053355,1.127286654
