lon,lat
-17.72985506,-18.97527804
-17.72099176,-18.99522047
-17.71434428,-19.0151629
-17.7076968,-19.0328895
-17.70326515,-19.04618445
-17.69661768,-19.06169523
-17.6899702,-19.077206
-17.68332273,-19.09050095
-17.67667525,-19.1037959
-17.6722436,-19.11487503
-17.6633803,-19.12595416
-17.654517,-19.13703328
-17.6456537,-19.14589658
-17.63457457,-19.15032823
-17.62127962,-19.15697571
-17.6102005,-19.16140736
-17.59912137,-19.16583901
-17.58804224,-19.17248649
-17.57696312,-19.17913396
-17.56809982,-19.19021309
-17.56145234,-19.20129221
-17.55258904,-19.21237134
-17.54815739,-19.22345046
-17.54150992,-19.23674542
-17.53929409,-19.25004037
-17.53486244,-19.26333532
-17.53264661,-19.27663027
-17.52821496,-19.28992522
-17.52599914,-19.30322017
-17.52378331,-19.31651512
-17.52156749,-19.32981007
-17.51935166,-19.3497525
-17.51935166,-19.36526328
-17.51935166,-19.38077405
-17.51713584,-19.394069
-17.51270419,-19.40736395
-17.51048836,-19.42287473
-17.50827254,-19.43616968
-17.50827254,-19.44946463
-17.50827254,-19.46497541
-17.51048836,-19.48491784
-17.51492001,-19.50264444
-17.51713584,-19.51815521
-17.51713584,-19.53145016
-17.51713584,-19.54474512
-17.51048836,-19.56247172
-17.50384089,-19.57576667
-17.49940924,-19.59127744
-17.49497759,-19.60457239
-17.49497759,-19.61786735
-17.49497759,-19.63559395
-17.49497759,-19.65553637
-17.49497759,-19.66883133
-17.49719341,-19.6843421
-17.49719341,-19.69763705
-17.49940924,-19.710932
-17.49940924,-19.72422695
-17.49940924,-19.73752191
-17.49497759,-19.75746433
-17.49054594,-19.76854346
-17.49054594,-19.78405423
-17.49497759,-19.79956501
-17.49940924,-19.83058656
-17.49940924,-19.84609734
-17.49940924,-19.85939229
-17.49719341,-19.87268724
-17.49719341,-19.89262967
-17.49940924,-19.9214354
-17.49719341,-19.939162
-17.49276176,-19.95467277
-17.48611429,-19.9657519
-17.48168264,-19.97904685
-17.47946681,-19.99455763
-17.48168264,-20.00785258
-17.48611429,-20.02336335
-17.49054594,-20.04330578
-17.49719341,-20.05660073
-17.50605671,-20.06989568
-17.51492001,-20.07875898
-17.52378331,-20.08762228
-17.52821496,-20.09870141
-17.52599914,-20.11421219
-17.53264661,-20.13415461
-17.54150992,-20.14301791
-17.54594157,-20.15409704
-17.54150992,-20.16517617
-17.53486244,-20.17847112
-17.53264661,-20.19176607
-17.53264661,-20.20506102
-17.53486244,-20.21835597
-17.54150992,-20.2294351
-17.55258904,-20.24273005
-17.56588399,-20.256025
-17.57474729,-20.26710412
-17.58361059,-20.27596742
-17.59247389,-20.28483072
-17.60355302,-20.29369403
-17.61463215,-20.3003415
-17.62571127,-20.3092048
-17.6367904,-20.31585228
-17.64786952,-20.32249975
-17.65673282,-20.33136305
-17.66559613,-20.34244218
-17.6722436,-20.35352131
-17.67889108,-20.36460043
-17.68553855,-20.37567956
-17.6899702,-20.38675868
-17.69661768,-20.39783781
-17.70326515,-20.40891693
-17.7076968,-20.41999606
-17.71212845,-20.43107519
-17.71434428,-20.44437014
-17.7165601,-20.45766509
-17.71877593,-20.47096004
-17.72320758,-20.48203917
-17.72763923,-20.49533412
-17.73428671,-20.50862907
-17.74093418,-20.52192402
-17.74758166,-20.53521897
-17.75644496,-20.54851392
-17.76309243,-20.56180887
-17.76752408,-20.572888
-17.77638738,-20.58396712
-17.78303486,-20.59504625
-17.79189816,-20.60390955
-17.80076146,-20.61498868
-17.80962476,-20.6260678
-17.81848806,-20.6349311
-17.82956719,-20.64157858
-17.84064631,-20.64822605
-17.85172544,-20.6526577
-17.86502039,-20.6526577
-17.87831534,-20.65044188
-17.89382612,-20.64822605
-17.91376855,-20.64822605
-17.93149515,-20.65044188
-17.9447901,-20.65044188
-17.95808505,-20.64822605
-17.97138,-20.64601023
-17.99984454,-20.64601021
-18.03120728,-20.65930518
-18.05558136,-20.66595266
-18.06666048,-20.67038431
-18.07773961,-20.67481596
-18.08881873,-20.67924761
-18.09989786,-20.68367926
-18.11319281,-20.68589508
-18.12648776,-20.68589508
-18.13978271,-20.68589508
-18.15307766,-20.68811091
-18.16637262,-20.69032673
-18.17745174,-20.69475838
-18.19074669,-20.69919003
-18.20182582,-20.70362168
-18.21290494,-20.70805333
-18.22398407,-20.71470081
-18.23727902,-20.72356411
-18.24835815,-20.73021159
-18.25943727,-20.73685906
-18.2705164,-20.74350654
-18.28159553,-20.75015401
-18.29267465,-20.75680149
-18.30375378,-20.76344896
-18.3148329,-20.77231226
-18.32591203,-20.77895974
-18.33699115,-20.78560722
-18.35250193,-20.79225469
-18.36358106,-20.79668634
-18.37687601,-20.79890217
-18.38795513,-20.80333382
-18.40125008,-20.80554964
-18.41232921,-20.80998129
-18.42562416,-20.81219712
-18.43670329,-20.81662877
-18.44999824,-20.81884459
-18.46329319,-20.82106042
-18.47658814,-20.82549207
-18.48988309,-20.82770789
-18.50096222,-20.83213954
-18.51204134,-20.83657119
-18.52533629,-20.83878702
-18.53641542,-20.84321867
-18.54749455,-20.84765032
-18.55857367,-20.85208197
-18.57186862,-20.85651362
-18.58516357,-20.86094527
-18.59845853,-20.8631611
-18.60953765,-20.86759275
-18.6228326,-20.86980857
-18.63612755,-20.8720244
-18.64720668,-20.87645605
-18.66050163,-20.87867187
-18.67158076,-20.88310352
-18.68265988,-20.88753517
-18.69373901,-20.89196682
-18.70481813,-20.89639847
-18.71589726,-20.90083012
-18.72697639,-20.90526177
-18.74027134,-20.9074776
-18.75135046,-20.91190925
-18.76464541,-20.9163409
-18.77572454,-20.92077255
-18.78680367,-20.9252042
-18.80009862,-20.92963585
-18.81339357,-20.93628333
-18.82668852,-20.94071498
-18.83998347,-20.94736245
-18.8510626,-20.9517941
-18.86214172,-20.95622575
-18.87322085,-20.9606574
-18.88429997,-20.96730488
-18.8953791,-20.97173653
-18.90645823,-20.97616818
-18.91975318,-20.98059983
-18.93304813,-20.98724731
-18.94412725,-20.99167896
-18.95520638,-20.99611061
-18.96628551,-21.00054226
-18.97958046,-21.00275808
-18.99287541,-21.00275808
-19.00617036,-21.00497391
-19.01946531,-21.00497391
-19.03276026,-21.00497391
-19.04605521,-21.00497391
-19.05935016,-21.00054226
-19.07264511,-20.99832643
-19.08594007,-20.99389478
-19.09923502,-20.98946313
-19.11031414,-20.98503148
-19.12139327,-20.98059983
-19.13247239,-20.97173653
-19.14133569,-20.96287323
-19.150199,-20.95400993
-19.16570977,-20.94514663
-19.17900472,-20.93849915
-19.1945155,-20.92963585
-19.21002628,-20.92077255
-19.2211054,-20.91412508
-19.23218453,-20.9074776
-19.24326365,-20.90083012
-19.2565586,-20.89196682
-19.26985355,-20.88531935
-19.28314851,-20.8808877
-19.29644346,-20.8720244
-19.31195423,-20.8631611
-19.32746501,-20.85651362
-19.34519161,-20.84543449
-19.36291821,-20.83435537
-19.37399734,-20.82770789
-19.38729229,-20.82327624
-19.40058724,-20.81662877
-19.41609802,-20.80998129
-19.42717714,-20.80333382
-19.43825627,-20.79668634
-19.44933539,-20.79003887
-19.46484617,-20.78117556
-19.48035695,-20.77009644
-19.49143607,-20.75901731
-19.50029937,-20.75015401
-19.5113785,-20.74129071
-19.52245763,-20.73242741
-19.53575258,-20.72356411
-19.54904753,-20.71248498
-19.56234248,-20.69919003
-19.5734216,-20.69032673
-19.58671656,-20.68146343
-19.60001151,-20.67260013
-19.61552228,-20.66373683
-19.63103306,-20.65708935
-19.64875966,-20.6526577
-19.66427044,-20.65044188
-19.67756539,-20.64601023
-19.69307616,-20.64157858
-19.70637111,-20.63714693
-19.72409772,-20.63271528
-19.73960849,-20.6260678
-19.75290344,-20.62385198
-19.76619839,-20.6172045
-19.77949335,-20.61277285
-19.7927883,-20.61055703
-19.80386742,-20.60612538
-19.82159402,-20.60169373
-19.83488898,-20.59504625
-19.8459681,-20.58839877
-19.85704723,-20.5817513
-19.86812635,-20.57510382
-19.87698965,-20.56624052
-19.88806878,-20.55737722
-19.89693208,-20.54851392
-19.90579538,-20.5374348
-19.91465868,-20.52857149
-19.94118297,-20.51087029
-19.93542615,-20.49792297
-19.95232771,-20.47982334
-19.97227014,-20.44880179
-19.97891761,-20.43550684
-19.98556509,-20.42442771
-19.99221256,-20.41334859
-19.99886004,-20.40226946
-20.00772334,-20.39119033
-20.01215499,-20.38011121
-20.01880247,-20.36903208
-20.02323412,-20.35795296
-20.03209742,-20.34687383
-20.03874489,-20.3357947
-20.04539237,-20.32471558
-20.04982402,-20.31363645
-20.05425567,-20.30255733
-20.05425567,-20.28926238
-20.05203984,-20.27596742
-20.04760819,-20.2648883
-20.04539237,-20.25159335
-20.04317654,-20.2382984
-20.04096072,-20.22500344
-20.03874489,-20.21170849
-20.03874489,-20.19841354
-20.03874489,-20.18511859
-20.03431324,-20.17182364
-20.02766577,-20.15852869
-20.01658664,-20.14301791
-20.00550751,-20.12972296
-19.99886004,-20.11421219
-19.99442839,-20.10091723
-19.99221256,-20.08762228
-19.98999674,-20.07432733
-19.98999674,-20.05660073
-19.98999674,-20.04108996
-19.98778091,-20.02336335
-19.98778091,-20.00563675
-19.99221256,-19.98791015
-19.99886004,-19.97239937
-20.00550751,-19.9568886
-20.01437081,-19.939162
-20.02101829,-19.92365122
-20.02544994,-19.90592462
-20.02988159,-19.88819802
-20.03431324,-19.87047142
-20.03652907,-19.84831316
-20.03652907,-19.83058656
-20.03431324,-19.81064414
-20.03431324,-19.79513336
-20.03652907,-19.77962258
-20.04317654,-19.76632763
-20.05203984,-19.75524851
-20.06090314,-19.73973773
-20.06976644,-19.7197953
-20.07419809,-19.7020687
-20.07862974,-19.68212628
-20.07862974,-19.66883133
-20.07419809,-19.65332055
-20.06755062,-19.63559395
-20.05647149,-19.61786735
-20.04539237,-19.59792492
-20.04096072,-19.58462997
-20.04096072,-19.56690337
-20.04096072,-19.54917677
-20.04317654,-19.53145016
-20.04317654,-19.51372356
-20.04317654,-19.50042861
-20.04096072,-19.48491784
-20.03431324,-19.47162288
-20.02988159,-19.46054376
-20.02544994,-19.44724881
-20.02101829,-19.43395386
-20.01880247,-19.41844308
-20.01437081,-19.40514813
-20.00993916,-19.39185318
-20.00329169,-19.38077405
-19.99886004,-19.36969493
